LON     LAT
98.2213239709 8.4748369710
98.1661579120 8.4378826740
98.1085293783 8.3992788297
98.0486421425 8.3591619401
97.9883496671 8.3187735911
97.9256941603 8.2768023094
97.8604836296 8.2331194840
97.7924358009 8.1875360272
97.7209360936 8.1396402472
97.6455962956 8.0891720912
97.5659952691 8.0358494499
97.4816909620 7.9793762043
97.3922675054 7.9194737745
97.2972995758 7.8558572476
97.1963543762 7.7882367042
97.0889913820 7.7163170484
96.9747547248 7.6397929059
96.8531705037 7.5583468229
96.7237435569 7.4716471036
96.5859541448 7.3793455879
96.4392558163 7.2810762227
96.2830739722 7.1764540988
96.1168055111 7.0650752147
95.9398200786 6.9465173123
95.7514632764 6.8203420274
95.5510622195 6.6860986120
95.3379346376 6.5433300310
95.1114015450 6.3915814497
94.8708030380 6.2304108160
94.6155224050 6.0594050110
94.3450113458 5.8781967426
94.0588134260 5.6864802574
93.7566217008 5.4840499412
93.4382922739 5.2708094016
93.1038420404 5.0467699563
92.7536788714 4.8122048272
92.3883348218 4.5674704242
92.0083852781 4.3129521834
91.6159693480 4.0500830372
91.2116161808 3.7792174486
90.7954792975 3.5004582576
90.3303512291 3.2538018878
89.8165052166 3.0394313763
89.2552402208 2.8582168629
88.6094775228 2.7502410177
87.9198780849 2.6778208215
87.1880000000 2.6420000000
86.4156666667 2.6440000000
85.6433333333 2.6460000000
84.8710000000 2.6480000000
84.0986666667 2.6500000000
83.3263333333 2.6520000000
82.5540000000 2.6540000000
81.8579268529 2.7034676498
81.2390102594 2.7982940036
80.6980074544 2.9366974618
80.3112727711 3.1659241687
80.0041916126 3.4346347817
79.7773703640 3.7414026162
79.6309119407 4.0859855364
79.4901010480 4.4172811183
79.3549463065 4.7352690800
79.2256351440 5.0395084469
79.1031283585 5.3277386825
78.9876079754 5.5995315234
78.8792277870 5.8545251317
78.7780742777 6.0925160292
78.6840374409 6.3137630363
78.5969269574 6.5187139303
78.5164719370 6.7080060530
